sku,brand,product_name,category,size,vendor,cost,case_size,lead_time_days
1000,Heineken,Heineken 12pk,Beer,12pk,Rhythm Brands,14.76,6,3
1001,Heineken,Heineken 18pk,Beer,18pk,Atlantic Beverage,7.27,24,5
1002,Miller Lite,Miller Lite 12pk,Beer,12pk,Worldwide Wines,14.95,4,3
1003,Bud Light,Bud Light 6pk,Beer,6pk,Worldwide Wines,11.76,6,5
1004,Smirnoff,Smirnoff 1.75L,Vodka,1.75L,CT Distributors,9.02,8,3
1005,Grey Goose,Grey Goose 1.75L,Vodka,1.75L,Star Distributors,16.48,4,3
1006,Miller Lite,Miller Lite 6pk,Beer,6pk,Rhythm Brands,17.83,6,4
1007,Grey Goose,Grey Goose 750ml,Vodka,750ml,Star Distributors,20.49,4,5
1008,Bud Light,Bud Light 24pk,Beer,24pk,Worldwide Wines,7.59,6,4
1009,Heineken,Heineken 18pk,Beer,18pk,CT Distributors,10.65,6,3
1010,Barefoot,Barefoot 750ml,Wine,750ml,CT Distributors,14.86,12,3
1011,Smirnoff,Smirnoff 750ml,Vodka,750ml,Atlantic Beverage,25.38,8,7
1012,Happy Dad,Happy Dad 12pk,RTD,12pk,Worldwide Wines,12.65,4,3
1013,Coors Light,Coors Light 18pk,Beer,18pk,Atlantic Beverage,14.3,6,7
1014,Meiomi,Meiomi 750ml,Wine,750ml,Star Distributors,6.6,6,3
1015,White Claw,White Claw 4pk,RTD,4pk,Rhythm Brands,11.61,12,4
1016,Happy Dad,Happy Dad 12pk,RTD,12pk,Rhythm Brands,14.32,6,7
1017,Truly,Truly 4pk,RTD,4pk,Star Distributors,14.99,6,3
1018,Miller Lite,Miller Lite 12pk,Beer,12pk,Atlantic Beverage,11.22,4,4
1019,Jack Daniels,Jack Daniels 750ml,Whiskey,750ml,CT Distributors,26.0,12,3
1020,Modelo,Modelo 12pk,Beer,12pk,CT Distributors,8.56,6,7
1021,Modelo,Modelo 12pk,Beer,12pk,CT Distributors,10.3,6,5
